acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence,target
0.0102,0.833,0.1907352427965223,0.434,0.0219,0.165,0.7411405916437938,1,0.431,0.596033171596529,0.28600000000000003,1
0.19899999999999998,0.743,0.31448079831273995,0.359,0.00611,0.13699999999999998,0.6921622445867641,1,0.0794,0.6544741998693666,0.588,1
0.0344,0.838,0.17162408897565712,0.41200000000000003,0.000234,0.159,0.7913693199146081,1,0.289,0.15853900345245875,0.17300000000000001,1
0.604,0.494,0.18548834950965268,0.33799999999999997,0.51,0.0922,0.5447087526684964,1,0.0261,0.22516212559484933,0.23,1
0.18,0.6779999999999999,0.38120242568924273,0.561,0.512,0.439,0.6541323574260445,0,0.0694,0.7356594662685454,0.904,1
0.00479,0.804,0.23800785971868885,0.56,0.0,0.16399999999999998,0.8055809698078682,1,0.185,0.2167350937762434,0.264,1
0.0145,0.7390000000000001,0.22796016528674823,0.47200000000000003,7.27e-06,0.207,0.6676730710582495,1,0.156,0.18761663711859672,0.308,1
0.0202,0.266,0.33747730341852245,0.348,0.664,0.16,0.6553217444342787,0,0.0371,0.5615785667630868,0.39299999999999996,1
0.0481,0.603,0.18896807052504336,0.9440000000000001,0.0,0.342,0.8987801158889904,0,0.34700000000000003,0.47923859288980136,0.39799999999999996,1
0.0020800000000000003,0.836,0.2132320437797458,0.603,0.0,0.5710000000000001,0.7717291857273558,1,0.237,0.3040438089017449,0.386,1
0.0572,0.525,0.3460956822124552,0.855,0.0143,0.649,0.784537968892955,0,0.0548,0.3737753102547356,0.524,1
0.0915,0.753,0.3124040927183803,0.748,0.0034799999999999996,0.212,0.7464775846294602,1,0.0494,0.32928408136605397,0.642,1
0.253,0.603,0.34486766438900046,0.434,0.0619,0.10800000000000001,0.6720036596523329,1,0.0342,0.46551040403097893,0.381,1
0.366,0.762,0.22985175781546352,0.47600000000000003,0.0,0.10300000000000001,0.6224763647453491,1,0.114,0.4790753009237661,0.36700000000000005,1
0.44,0.662,0.2339161528851844,0.603,0.0,0.0972,0.7557182067703567,0,0.0793,0.4499393486983299,0.35100000000000003,1
0.019,0.637,0.17428041089031293,0.8320000000000001,0.0563,0.316,0.8069533394327538,1,0.163,0.304008817766166,0.317,1
0.0239,0.603,0.2577269531704406,0.955,0.0451,0.11900000000000001,0.8839890210430008,1,0.0458,0.4435884575907438,0.773,1
0.233,0.789,0.4368516617185169,0.659,0.00049,0.184,0.6234522720341567,0,0.0429,0.4347998507044883,0.8420000000000001,1
0.314,0.713,0.18145834703136302,0.611,0.0,0.11699999999999999,0.8049710277523634,0,0.24100000000000002,0.5377087804422882,0.7829999999999999,1
0.0242,0.735,0.20059478952239818,0.759,0.185,0.0966,0.7985056419640133,0,0.0449,0.3622923859288982,0.763,1
0.0007019999999999999,0.8540000000000001,0.23590384236054565,0.7190000000000001,0.308,0.428,0.7246721561451661,0,0.0655,0.4676565270131568,0.47100000000000003,1
0.00023999999999999998,0.747,0.2950054876414269,0.74,0.369,0.0995,0.8832875876791704,1,0.0323,0.479215265466082,0.77,1
0.11800000000000001,0.8540000000000001,0.2741736927021956,0.401,0.0,0.527,0.748520890515401,1,0.395,0.5368981524680414,0.441,1
0.000596,0.22399999999999998,0.11806572019603777,0.925,1.35e-06,0.0663,0.9572125648063433,0,0.0834,0.5258176262013625,0.364,1
0.27899999999999997,0.512,0.18952138662836276,0.564,1.5399999999999998e-05,0.133,0.8296736810003049,1,0.0316,0.27199192871139316,0.401,1
0.0021899999999999997,0.7809999999999999,0.19130170900833007,0.795,0.26899999999999996,0.0673,0.8032631899969502,1,0.036000000000000004,0.362263226649249,0.795,1
0.341,0.41100000000000003,0.18557635408184425,0.684,1.42e-06,0.198,0.7992680695333942,0,0.38299999999999995,0.36249066903051236,0.598,1
0.018000000000000002,0.6459999999999999,0.17428041089031293,0.8370000000000001,0.0403,0.316,0.807624275693809,1,0.134,0.3043120742745173,0.32,1
0.0516,0.782,0.21497392738105472,0.5720000000000001,0.0,0.33,0.7816407441293076,0,0.0385,0.42083838760847264,0.237,1
0.282,0.735,0.17201758068350217,0.4,0.125,0.0811,0.6200365965233303,1,0.102,0.47322594942614543,0.326,1
0.007909999999999999,0.45,0.20725784833878724,0.449,0.0,0.17300000000000001,0.6422689844464775,1,0.156,0.5108180927498367,0.13699999999999998,1
0.0219,0.897,0.2723063772968435,0.642,1.31e-06,0.159,0.7401341872522109,1,0.0534,0.4672774563777177,0.27,1
0.0358,0.9590000000000001,0.1992322359736391,0.598,0.0,0.358,0.8405916437938395,1,0.0713,0.461708033964729,0.424,1
0.0324,0.742,0.267846467425664,0.5589999999999999,0.0,0.0987,0.8301616346447087,1,0.141,0.5777269758327892,0.429,1
0.11800000000000001,0.805,0.2193417864928155,0.687,0.0,0.0842,0.7723696248856358,1,0.0458,0.4207100867780163,0.6829999999999999,1
0.0428,0.667,0.2171295336263447,0.581,0.0,0.183,0.851875571820677,0,0.32299999999999995,0.367955118036764,0.37200000000000005,1
0.297,0.722,0.16141353550782178,0.823,0.0,0.489,0.889935956084172,1,0.081,0.5853492115330783,0.855,1
0.0565,0.853,0.19202901116241902,0.547,0.0,0.341,0.7795669411405916,1,0.19399999999999998,0.5493958197256696,0.677,1
0.0128,0.747,0.1997450902046865,0.705,0.0,0.126,0.8526989935956083,0,0.126,0.5141655780535599,0.5710000000000001,1
0.135,0.777,0.22369851858970144,0.591,5.5e-05,0.126,0.7827386398292162,0,0.0327,0.44469067836148185,0.848,1
0.00041,0.731,0.31206117835087527,0.852,0.625,0.358,0.8239402256785605,1,0.0476,0.4499218531305403,0.622,1
0.0035600000000000002,0.76,0.17204388090047895,0.402,0.0,0.33299999999999996,0.7424824641659042,1,0.16399999999999998,0.5783393207054213,0.069,1
0.00156,0.624,0.16888583176965055,0.792,1.54e-06,0.0772,0.8468130527599877,0,0.0473,0.5370031258747785,0.318,1
0.00243,0.621,0.3670407703940481,0.6829999999999999,0.00856,0.525,0.8379993900579444,0,0.242,0.4456937575814128,0.0891,1
0.5329999999999999,0.64,0.22100679253680766,0.8190000000000001,0.0,0.156,0.8840805123513266,1,0.455,0.6890512736773351,0.624,1
0.0063100000000000005,0.715,0.19932630982667146,0.833,0.0,0.16399999999999998,0.8453186947240012,1,0.10800000000000001,0.2777596342259962,0.607,1
0.00182,0.7,0.3743916810390609,0.7559999999999999,0.711,0.0575,0.6826166514181152,1,0.0575,0.38735770271531217,0.9470000000000001,1
0.0923,0.789,0.16103622854888552,0.494,0.000408,0.14400000000000002,0.591491308325709,1,0.0456,0.33086451432303815,0.8320000000000001,1
0.375,0.7959999999999999,0.23923587754214357,0.86,0.00457,0.0745,0.8202195791399816,0,0.0653,0.4732492768498647,0.973,1
0.183,0.716,0.5673219804063383,0.9570000000000001,0.057999999999999996,0.182,0.8625495577920097,1,0.0689,0.34323388075021005,0.93,1
0.0185,0.74,0.22790048402514707,0.846,0.0624,0.254,0.8251906068923451,1,0.0808,0.2807222170383504,0.852,1
0.0638,0.7,0.2108447933156987,0.84,0.11199999999999999,0.141,0.8194571515706007,0,0.0292,0.49346832135858926,0.745,1
0.456,0.514,0.20187540777980648,0.45299999999999996,0.000181,0.17800000000000002,0.7939920707532784,1,0.0267,0.16147825884109368,0.532,1
0.128,0.313,0.27404623780453885,0.77,0.0787,0.0873,0.7878011588899054,1,0.0335,0.15681860595315855,0.18600000000000003,1
0.24600000000000002,0.6759999999999999,0.2414835345468523,0.528,0.0,0.0803,0.7440683135102164,1,0.0366,0.4794602034151348,0.301,1
0.12,0.532,0.19986141808746846,0.596,0.0,0.504,0.7070753278438547,0,0.187,0.41661029205934513,0.486,1
0.00426,0.6459999999999999,0.27010828608566795,0.629,0.27699999999999997,0.122,0.6807563281488258,0,0.0427,0.3566413175328917,0.17600000000000002,1
0.193,0.598,0.224831451013317,0.252,0.138,0.0992,0.5492833180847819,1,0.0647,0.421065829989736,0.0359,1
0.0174,0.754,0.09845486225261359,0.442,9.4e-05,0.0622,0.7387618176273254,0,0.127,0.5842411589064105,0.599,1
0.000392,0.294,0.2987279798904495,0.7859999999999999,0.865,0.272,0.8987801158889904,1,0.0378,0.19390337781095462,0.136,1
0.435,0.622,0.27451863016331424,0.253,0.47100000000000003,0.0941,0.5714242146996035,1,0.0331,0.2608297564616964,0.32799999999999996,1
0.257,0.5589999999999999,0.21172180439719396,0.6559999999999999,0.000171,0.2,0.7440683135102164,0,0.0469,0.18533054959410294,0.6709999999999999,1
0.000145,0.54,0.2808094397548011,0.945,0.753,0.667,0.8068618481244281,1,0.0406,0.263226649248857,0.87,1
0.273,0.7929999999999999,0.21870552355133852,0.7,0.0,0.174,0.8068313510216529,0,0.0572,0.5376912848744986,0.887,1
0.374,0.5489999999999999,0.21007601774253098,0.715,3.5000000000000004e-06,0.17,0.6688929551692588,1,0.0633,0.199793552300084,0.785,1
0.00266,0.557,0.17232205627234887,0.607,0.7709999999999999,0.33,0.7017078377554131,1,0.0578,0.1469744331436037,0.259,1
0.000546,0.597,0.26623709645604576,0.444,0.051,0.335,0.7534919182677644,0,0.03,0.42114747597275365,0.361,1
0.007809999999999999,0.879,0.20002731176378358,0.512,1.4499999999999998e-05,0.134,0.7705702958218968,1,0.0775,0.46707917327610354,0.27699999999999997,1
0.125,0.726,0.3218043971939692,0.49700000000000005,0.89,0.10400000000000001,0.6817627325404085,0,0.0433,0.44989852570682093,0.47200000000000003,1
0.00158,0.857,0.11938275413849088,0.831,0.0,0.154,0.8671241232082951,1,0.0995,0.3394140151161706,0.251,1
0.0132,0.807,0.31851383543145,0.778,0.6659999999999999,0.109,0.8420860018298261,1,0.0399,0.420721750489876,0.797,1
0.7829999999999999,0.596,0.18267018010590894,0.639,0.569,0.331,0.8097285757853003,1,0.03,0.4441133246244286,0.19699999999999998,1
0.518,0.6829999999999999,0.1406970569045656,0.708,2.08e-05,0.175,0.800396462336078,0,0.0289,0.3416709433610153,0.9670000000000001,1
0.0548,0.768,0.2264509374510032,0.853,0.13,0.0188,0.8289722476364745,0,0.0427,0.3462664458337222,0.887,1
0.727,0.506,0.1460248739359792,0.948,0.0,0.0904,0.8377859103385178,1,0.105,0.48017168983857433,0.9359999999999999,1
0.00031299999999999996,0.457,0.2806951349656327,0.9179999999999999,0.000215,0.769,0.847880451357121,0,0.0471,0.3333430530932164,0.297,1
0.34,0.46799999999999997,0.3749986091231407,0.58,0.821,0.0737,0.7613906678865507,1,0.0278,0.16568885882243167,0.324,1
0.47,0.537,0.21890985600631205,0.447,1.86e-05,0.0519,0.7574260445257699,1,0.0289,0.21288023700662512,0.5489999999999999,1
0.855,0.515,0.3663933804376963,0.217,0.46299999999999997,0.598,0.6012503812137846,0,0.0351,0.18752915927964925,0.19399999999999998,1
0.00502,0.429,0.18297971342878963,0.725,1.5399999999999998e-05,0.266,0.8216224458676424,1,0.0371,0.20449986003545773,0.174,1
0.555,0.7909999999999999,0.17314444382627694,0.58,0.00155,0.11599999999999999,0.7538883806038426,1,0.0588,0.19722753569095836,0.733,1
0.18600000000000003,0.711,0.2076786518104159,0.705,0.0,0.14800000000000002,0.8188167124123208,0,0.252,0.5609895493141739,0.40299999999999997,1
0.0249,0.6829999999999999,0.18714324008557687,0.8240000000000001,0.627,0.0533,0.7480329368709973,0,0.222,0.6190456750956423,0.9209999999999999,1
0.0108,0.309,0.24461730655431754,0.325,0.8540000000000001,0.0742,0.5092101250381214,0,0.0366,0.7466000279929086,0.46,1
0.193,0.867,0.44948891597586454,0.733,0.00021899999999999998,0.7490000000000001,0.7794144556267154,0,0.237,0.2914528319492396,0.7609999999999999,1
0.0192,0.619,0.2624872924432396,0.7340000000000001,0.263,0.0771,0.7237267459591339,0,0.0343,0.33926821871792484,0.853,1
0.0077599999999999995,0.898,0.4186337037280558,0.5,0.292,0.0771,0.6711802378774016,1,0.0571,0.4340183820098909,0.868,1
0.17,0.589,0.19239417955967367,0.745,0.00040599999999999995,0.376,0.7620616041476059,1,0.076,0.30062050947093416,0.76,1
0.0221,0.606,0.22147311561474228,0.6679999999999999,1.65e-05,0.0527,0.7297651723086307,0,0.0729,0.6473360082112534,0.958,1
0.0397,0.7859999999999999,0.2901096010965168,0.547,0.272,0.0378,0.6612076852698994,1,0.262,0.26094056172436325,0.68,1
0.0213,0.7340000000000001,0.3094230642787419,0.5479999999999999,0.0,0.512,0.7140896614821591,1,0.386,0.4690561724363162,0.72,1
0.0454,0.812,0.25529317155328074,0.6759999999999999,0.0,0.0929,0.8720646538578835,1,0.0491,0.38599888028366164,0.39899999999999997,1
0.00672,0.8759999999999999,0.19948107648811178,0.606,1.06e-05,0.14,0.8425129612686795,1,0.0645,0.4672249696743492,0.249,1
0.00488,0.601,0.45675890287633336,0.873,0.0365,0.113,0.830466605672461,0,0.0448,0.4498577027153123,0.5660000000000001,1
0.00419,0.748,0.19928584795439946,0.741,0.0,0.147,0.9147301006404391,1,0.0531,0.46781981897919206,0.5329999999999999,1
0.17,0.615,0.20039551480145865,0.8140000000000001,0.0,0.218,0.89033241842025,0,0.0677,0.5607096202295418,0.601,1
0.0604,0.799,0.321143857129129,0.789,0.0,0.0338,0.7590423909728575,1,0.0396,0.397860875244938,0.833,1
0.0571,0.39799999999999996,0.23401933065947791,0.7759999999999999,0.0172,0.303,0.7840500152485513,0,0.0374,0.3671503219184474,0.6890000000000001,1
0.716,0.685,0.4159328737539008,0.423,0.518,0.0765,0.733943275388838,0,0.0475,0.5258876084725204,0.649,1
0.0151,0.706,0.28703348725703914,0.581,0.0,0.368,0.8113754193351631,1,0.055,0.5024143883549501,0.46299999999999997,1
0.228,0.63,0.3030118806172459,0.98,0.0066099999999999996,0.48700000000000004,0.859499847514486,1,0.059000000000000004,0.3507861341793413,0.805,1
0.017,0.57,0.22399490180409373,0.736,5.739999999999999e-05,0.17800000000000002,0.8318084781945715,1,0.0844,0.30326234020714754,0.267,1
0.247,0.525,0.2799132092839766,0.643,0.0,0.106,0.7997255260750228,0,0.816,0.8856722963515911,0.943,1
0.12300000000000001,0.698,0.223266588103198,0.7929999999999999,0.0,0.0805,0.8467520585544372,0,0.105,0.47873122142390595,0.46,1
0.00705,0.763,0.19961156602618896,0.773,0.032,0.772,0.8653552912473315,1,0.0533,0.4791802743305031,0.34700000000000003,1
0.18100000000000002,0.511,0.1465377281670266,0.769,0.0,0.0921,0.7949069838365355,1,0.042,0.4770341513483252,0.8140000000000001,1
0.37799999999999995,0.506,0.14486462974858003,0.813,0.0293,0.276,0.8330893565111314,1,0.0392,0.351970000933097,0.855,1
0.677,0.513,0.14768381069913056,0.494,6.43e-05,0.14300000000000002,0.8546813052759987,1,0.0315,0.5134074367826817,0.521,1
0.488,0.251,0.11206421299129564,0.868,7.34e-06,0.818,0.9274778896004879,1,0.128,0.7538606886255483,0.5870000000000001,1
0.48700000000000004,0.5589999999999999,0.096327579317914,0.633,0.0,0.16399999999999998,0.9097895699908508,1,0.0329,0.14367943454324916,0.8420000000000001,1
0.7,0.431,0.14429007116231785,0.6779999999999999,6.37e-06,0.19899999999999998,0.7670631290027446,1,0.0365,0.5135532331809276,0.632,1
0.40299999999999997,0.6829999999999999,0.12774925777753052,0.71,0.0,0.086,0.7823116803903628,1,0.114,0.4684263319958945,0.93,1
0.6559999999999999,0.78,0.1349383209334554,0.599,0.0,0.129,0.6967368100030497,1,0.0329,0.4277024820378838,0.9670000000000001,1
0.009040000000000001,0.614,0.18239200473403905,0.907,0.000131,0.36,0.9320219579139981,0,0.14300000000000002,0.43766329196603543,0.354,1
0.141,0.6609999999999999,0.18265804154422735,0.531,0.0,0.136,0.7009454101860323,0,0.5479999999999999,0.2649295511803677,0.657,1
0.11900000000000001,0.564,0.19986141808746846,0.594,0.0,0.536,0.7070753278438547,0,0.155,0.24222613604553517,0.489,1
0.0659,0.7509999999999999,0.1886443755468675,0.597,0.0,0.0881,0.80838670326319,0,0.125,0.44402584678548124,0.168,1
0.00257,0.8959999999999999,0.2538800406641817,0.623,0.000258,0.039,0.7651418115279048,1,0.0571,0.5079721470560794,0.564,1
0.00256,0.618,0.1827369421951577,0.7170000000000001,0.0,0.625,0.8343702348276913,1,0.318,0.8292374265186153,0.601,1
0.0244,0.746,0.208430231087868,0.873,0.0,0.354,0.8933821286977737,1,0.128,0.5844452738639545,0.8079999999999999,1
0.013000000000000001,0.888,0.18616305122978802,0.483,4.85e-06,0.0926,0.7715767002134797,1,0.154,0.4499218531305403,0.221,1
0.0127,0.44299999999999995,0.3062033107926987,0.645,0.9520000000000001,0.122,0.8190606892345227,1,0.0515,0.4676273677335075,0.138,1
0.00943,0.507,0.26930511792106904,0.934,0.0018,0.222,0.938456846599573,0,0.188,0.747031585331716,0.47200000000000003,1
0.000758,0.695,0.24047603392727993,0.912,0.000103,0.302,0.9077767612076852,0,0.193,0.6542409256321733,0.612,1
0.674,0.462,0.2127191895486984,0.449,0.0006320000000000001,0.0993,0.7266239707227813,0,0.0916,0.9437517495567789,0.748,1
0.0161,0.526,0.22800062715902022,0.7120000000000001,0.0,0.179,0.8103690149435803,0,0.0356,0.33329056638984794,0.299,1
0.107,0.645,0.5823120925363019,0.924,0.0266,0.0982,0.7746264104910032,0,0.0569,0.250728981991229,0.8859999999999999,1
0.0134,0.405,0.5835390988129499,0.647,7.62e-05,0.8190000000000001,0.8230558096980787,0,0.0482,0.4904182607072876,0.204,1
0.0219,0.735,0.256705290895573,0.6409999999999999,0.89,0.168,0.8209820067093625,0,0.0284,0.3390291126248018,0.8859999999999999,1
0.0452,0.746,0.22466859197742228,0.41600000000000004,7.77e-05,0.12,0.8078682525160109,1,0.0482,0.4909081366053934,0.21600000000000003,1
0.0551,0.547,0.23776508848505692,0.643,0.0,0.267,0.737816407441293,1,0.22699999999999998,0.5552218437995708,0.187,1
0.0224,0.634,0.20829569536256365,0.609,0.0,0.099,0.7354376334248245,1,0.172,0.20505971820472152,0.659,1
0.244,0.607,0.2405033456910635,0.488,0.000177,0.113,0.7439158279963403,1,0.193,0.17006858262573488,0.16,1
0.0668,0.7040000000000001,0.18531942119291714,0.647,1.93e-06,0.10099999999999999,0.7692284232997865,0,0.171,0.25743561631053474,0.6940000000000001,1
7.190000000000001e-05,0.5579999999999999,0.2449410015324934,0.642,0.00746,0.201,0.8505946935041171,0,0.0321,0.3039446673509379,0.49200000000000005,1
0.0227,0.698,0.2346899861923861,0.804,0.0599,0.5660000000000001,0.8075937785910338,1,0.111,0.2574297844546049,0.7859999999999999,1
0.10300000000000001,0.772,0.17714005371313543,0.5820000000000001,6.61e-05,0.32299999999999995,0.8275998780115889,0,0.309,0.7241473826630587,0.564,1
0.0956,0.7879999999999999,0.22499329850240496,0.8640000000000001,0.0,0.335,0.8334858188472094,1,0.0335,0.49825044322105067,0.6779999999999999,1
0.00919,0.9440000000000001,0.24877071774303675,0.8390000000000001,0.0,0.0921,0.8830741079597437,1,0.10800000000000001,0.5141364187739108,0.8909999999999999,1
0.354,0.7290000000000001,0.1626951653120369,0.795,0.0,0.536,0.8697163769441902,1,0.14400000000000002,0.5767005691891389,0.853,1
0.00469,0.721,0.2153492112463774,0.621,0.0103,0.19899999999999998,0.8758462946020127,1,0.306,0.6537977045815062,0.578,1
0.0010199999999999999,0.7979999999999999,0.2139876692444251,0.7509999999999999,3.22e-06,0.0271,0.8161634644708752,1,0.263,0.6656713632546423,0.48200000000000004,1
0.0512,0.851,0.21101979091327502,0.387,0.0,0.0996,0.5950899664531868,1,0.33399999999999996,0.4010567322944854,0.365,1
0.0252,0.34,0.13294253908363973,0.805,0.0,0.138,0.9057639524245196,1,0.0387,0.7001901185033126,0.654,1
0.221,0.767,0.18007960873369513,0.8909999999999999,0.0723,0.0935,0.8133882281183287,1,0.0402,0.43253125874778403,0.779,1
0.937,0.772,0.20640713747426878,0.635,0.018000000000000002,0.0961,0.7528209820067093,1,0.0536,0.7008724456471029,0.5920000000000001,1
2.13e-05,0.259,0.33874477156744237,0.847,0.823,0.133,0.817291857273559,1,0.0332,0.5966163571895122,0.682,1
0.284,0.633,0.21313796992671344,0.77,0.0,0.308,0.7972857578530039,0,0.327,0.5954966408509845,0.324,1
0.0962,0.654,0.23877865838547016,0.292,0.0031,0.106,0.6136017078377554,1,0.474,0.6163571895119904,0.111,1
0.33399999999999996,0.726,0.20812069776498732,0.583,0.00135,0.122,0.8131442512961268,0,0.23,0.5428524773723991,0.48,1
0.0648,0.855,0.2982697491869693,0.638,0.0,0.162,0.8578530039646233,0,0.14300000000000002,0.43801903517775514,0.433,1
0.185,0.7040000000000001,0.269284886984933,0.431,0.0972,0.249,0.7686489783470569,1,0.131,0.5723616683773445,0.349,1
0.6890000000000001,0.6579999999999999,0.22508737235543733,0.179,0.0,0.17,0.6779810917962793,1,0.0448,0.4681172436316134,0.19699999999999998,1
0.000472,0.502,0.23079654253301435,0.833,0.043,0.35200000000000004,0.85742604452577,1,0.0638,0.5493258374545116,0.593,1
0.00157,0.79,0.2039935867932449,0.6759999999999999,0.0,0.25,0.8132052455016773,0,0.271,0.4907098535037792,0.314,1
0.0233,0.738,0.22875726417050632,0.8490000000000001,0.0317,0.309,0.8188777066178712,1,0.0822,0.2806755621909118,0.863,1
0.00212,0.777,0.4901025202688692,0.7390000000000001,0.868,0.109,0.7321744434278743,1,0.039,0.42066926378650754,0.201,1
0.0734,0.7909999999999999,0.20563836190110107,0.779,0.0,0.0832,0.827233912778286,1,0.235,0.36261313800503886,0.581,1
0.19,0.735,0.2627978373129271,0.41,0.0,0.341,0.742970417810308,0,0.2,0.3904602500699825,0.16,1
0.188,0.556,0.281531684174856,0.5820000000000001,0.9109999999999999,0.22899999999999998,0.6845684659957303,0,0.0357,0.48500046654847445,0.516,1
0.461,0.42700000000000005,0.19254287694027322,0.465,5.520000000000001e-05,0.154,0.8082342177493138,1,0.0291,0.37486003545768415,0.462,1
0.0111,0.563,0.1621701725193079,0.81,2.71e-05,0.142,0.730070143336383,1,0.0372,0.3040554726136047,0.767,1
0.0496,0.753,0.2430524436441985,0.708,0.0123,0.0872,0.7892650198231167,0,0.223,0.39157996640850984,0.445,1
0.149,0.785,0.2497883338306772,0.764,0.813,0.201,0.8494053064958829,0,0.04,0.26899435476345995,0.961,1
0.0682,0.557,0.2810764881117962,0.608,0.0263,0.196,0.7758462946020127,0,0.0862,0.36047284687879083,0.21100000000000002,1
0.489,0.594,0.2221872676603428,0.42,0.004520000000000001,0.0833,0.7511436413540713,0,0.031,0.5375863114677615,0.311,1
0.000259,0.644,0.22363074495364588,0.758,0.0708,0.0726,0.769685879841415,1,0.0458,0.3565071848465056,0.752,1
0.217,0.7040000000000001,0.17135097133782123,0.657,0.000118,0.0888,0.7906373894480023,0,0.35,0.5960098441728097,0.804,1
0.0472,0.8490000000000001,0.2039794251379497,0.408,0.0,0.10099999999999999,0.7449527294906984,0,0.284,0.30335564990202496,0.337,1
0.228,0.628,0.24773287071926034,0.568,0.0183,0.0906,0.6831960963708448,1,0.14,0.8371337594476069,0.618,1
0.00689,0.7170000000000001,0.21130302401917891,0.862,0.0,0.321,0.8649283318084782,1,0.054000000000000006,0.47915694690678384,0.512,1
0.0109,0.584,0.23006418264489142,0.68,1.03e-06,0.129,0.8664836840500152,0,0.0524,0.33259657553419814,0.326,1
0.0246,0.586,0.3622258075936819,0.8059999999999999,0.000167,0.353,0.7183592558706922,1,0.0548,0.3642927125128302,0.207,1
0.00399,0.648,0.5508459060171862,0.85,0.294,0.35,0.817932296431839,1,0.0439,0.3741427171783149,0.5589999999999999,1
0.037000000000000005,0.807,0.2367909689101089,0.785,0.000763,0.18,0.7675815797499237,1,0.14800000000000002,0.444340767005692,0.42100000000000004,1
0.0789,0.5770000000000001,0.3437630552759753,0.941,0.207,0.342,0.8770661787130222,1,0.0422,0.3040496407576749,0.381,1
0.141,0.5,0.242822822519055,0.593,6.21e-06,0.0969,0.8770051845074718,1,0.0898,0.12011873658673144,0.325,1
